0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.04,0.04,0.36,0.0,0.39999999999999997,0.0,0.0,0.12000000000000002,0.5599999999999999,0.2,0.2,0.0,0.48,0.32,0.52,0.0,0.48,0.32,0.04,0.48,1.0,0.5,0.96,0.44000000000000006,0.0,0.0,0.5,0.52,0.48,0.48,0.8400000000000001,0.0,0.04,0.27999999999999997,0.48,0.0,0.36,0.52,0.96,0.96,0.6
0.0,0.44000000000000006,0.16,0.0,0.72,0.0,0.04,0.0,0.27999999999999997,0.68,0.04,0.04,0.2,0.4,0.9199999999999999,0.44000000000000006,0.5599999999999999,0.04,0.0,0.0,0.8,0.12000000000000002,1.0,0.72,0.0,0.36,0.64,1.0,0.0,0.0,0.5199999999999999,0.0,0.12,0.0,0.08,0.68,0.5199999999999999,0.76,1.0,1.0,1.0
0.04,0.2,0.04,0.0,0.4,0.0,0.16,0.0,0.52,0.32,0.0,0.2,0.6000000000000001,0.24000000000000005,0.72,0.08,0.2,0.0,0.0,0.04,0.78,0.4,1.0,0.56,0.0,0.36,0.7399999999999999,0.4,0.0,0.56,0.8400000000000001,0.2,0.2,0.28,0.6000000000000001,0.0,0.27999999999999997,0.5599999999999999,1.0,1.0,0.8400000000000001
0.5900000000000001,0.5900000000000001,0.5900000000000001,0.38,0.33999999999999997,0.0,0.27999999999999997,0.0,0.96,0.96,0.12000000000000002,0.12000000000000002,0.96,0.96,1.0,0.62,0.9349999999999999,0.8699999999999999,0.0,0.765,1.0,1.0,1.0,1.0,0.09,0.9099999999999999,0.12,1.0,0.9099999999999999,0.3,0.96,0.0,0.37,0.0,1.0,0.1,0.5900000000000001,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.10666666666666666,0.7866666666666667,0.3066666666666667,0.0,0.10666666666666666,0.5599999999999999,0.5666666666666667,0.5866666666666667,0.06000000000000001,0.6933333333333334,0.10666666666666666,0.3066666666666667,0.14666666666666667,0.8133333333333332,0.13333333333333333,0.9333333333333332,0.33333333333333337,0.52,0.0,0.4333333333333333,0.6666666666666667,0.22666666666666666,0.18666666666666668,0.3333333333333333,0.0,0.0,0.2,0.2,0.5866666666666667,0.0,0.37333333333333335,0.9199999999999999,0.9199999999999999,1.0
0.12,0.32,0.24,0.0,0.32,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.32,0.08,0.0,0.0,0.0,0.76,0.0,1.0,1.0,1.0,0.08,0.0,0.0,0.5,0.0,0.0,0.0,0.8800000000000001,0.52,0.0,0.24,0.0,0.0,0.56,0.32,1.0,1.0,1.0
0.12000000000000002,0.0,0.24,0.08,0.16,0.0,0.2,0.04,0.44000000000000006,0.27999999999999997,0.12000000000000002,0.24000000000000005,0.32,0.32,0.6799999999999999,0.12000000000000002,0.8,0.08,0.0,0.36,0.36,0.04,0.96,0.8799999999999999,0.0,0.08,0.52,0.5,0.5599999999999999,0.2,0.68,0.0,0.0,0.12000000000000002,0.5199999999999999,0.2,0.28,0.48,0.8799999999999999,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.68,0.16,0.12000000000000002,0.12000000000000002,0.0,0.76,0.12,0.68,0.0,0.0,0.08,0.9199999999999999,0.04,1.0,1.0,0.68,0.28,0.4,0.0,0.8400000000000001,0.12000000000000002,0.36,0.0,0.12,0.0,0.72,0.0,0.0,0.04,1.0,1.0,1.0
0.12000000000000002,0.08,0.68,0.0,0.6,0.0,0.2,0.0,0.24,0.12000000000000002,0.0,0.0,0.2,0.0,0.2,0.04,0.16,0.0,0.56,0.2,0.56,0.54,1.0,0.2,0.12000000000000002,0.08,0.44000000000000006,0.0,0.16,0.2,0.96,0.0,0.52,0.4,0.44000000000000006,0.0,0.68,0.8,1.0,1.0,0.8
0.3,0.0,0.36,0.0,0.7200000000000001,0.0,0.0,0.0,1.0,0.22000000000000003,0.25,0.32,0.4800000000000001,0.08,0.45,0.4600000000000001,0.38,0.04,0.54,0.5800000000000001,0.7,0.3,0.96,0.22000000000000003,0.04,0.12,0.52,0.6200000000000001,0.0,0.04,0.35,0.0,0.0,0.04,0.12,0.04,0.54,0.7200000000000001,0.39,0.9199999999999999,1.0
0.8800000000000001,0.0,0.0,0.0,0.64,0.0,0.0,0.0,1.0,0.56,0.16,0.76,1.0,0.8400000000000001,1.0,0.0,0.0,0.68,0.0,0.72,0.9199999999999999,0.0,1.0,0.6799999999999999,0.0,0.16,0.72,0.16,0.52,0.64,1.0,0.0,0.0,0.0,0.8,0.0,0.8800000000000001,0.64,1.0,1.0,1.0
0.0,0.0,0.0,0.04,0.12000000000000002,0.0,0.0,0.12,0.4,0.04,0.12,0.0,0.36,0.6,0.8400000000000001,0.6,0.12000000000000002,0.32,0.0,0.52,0.4800000000000001,0.02,1.0,0.4800000000000001,0.0,0.04,0.44000000000000006,0.27999999999999997,0.44000000000000006,0.4800000000000001,0.9199999999999999,0.0,0.04,0.04,0.32,0.12000000000000002,0.0,0.28,1.0,1.0,1.0
